case_id,activity,event_order,exchange_rate
1,Check-in,1,
1,Check exchange rate,2,0.87
1,Check exchange rate,3,0.88
1,Check exchange rate,4,0.93
1,Check exchange rate,5,0.93
1,Check exchange rate,6,1.09
1,Check exchange rate,7,0.97
1,Check exchange rate,8,1.12
1,Check exchange rate,9,0.93
1,Check exchange rate,10,1.03
1,Check exchange rate,11,0.92
1,Check exchange rate,12,1.21
1,Pays cash,13,
2,Check-in,1,
2,Check exchange rate,2,1.05
2,Check exchange rate,3,0.93
2,Check exchange rate,4,0.96
2,Check exchange rate,5,1.05
2,Check exchange rate,6,1.12
2,Check exchange rate,7,1.16
2,Check exchange rate,8,0.85
2,Check exchange rate,9,1.03
2,Check exchange rate,10,1.15
2,Check exchange rate,11,0.83
2,Check exchange rate,12,1.03
2,Pays cash,13,
3,Check-in,1,
3,Check exchange rate,2,1.0
3,Check exchange rate,3,0.92
3,Check exchange rate,4,1.16
3,Check exchange rate,5,1.17
3,Check exchange rate,6,0.94
3,Check exchange rate,7,1.06
3,Check exchange rate,8,1.16
3,Check exchange rate,9,0.96
3,Check exchange rate,10,0.98
3,Check exchange rate,11,0.94
3,Check exchange rate,12,0.9
3,Pays by card,13,
4,Check-in,1,
4,Check exchange rate,2,0.94
4,Check exchange rate,3,0.98
4,Check exchange rate,4,0.92
4,Check exchange rate,5,1.0
4,Check exchange rate,6,0.94
4,Check exchange rate,7,1.07
4,Check exchange rate,8,1.1
4,Check exchange rate,9,1.01
4,Check exchange rate,10,1.05
4,Check exchange rate,11,1.21
4,Check exchange rate,12,0.88
4,Pays cash,13,
5,Check-in,1,
5,Check exchange rate,2,0.88
5,Check exchange rate,3,1.17
5,Check exchange rate,4,1.04
5,Check exchange rate,5,0.93
5,Check exchange rate,6,0.99
5,Check exchange rate,7,1.06
5,Check exchange rate,8,1.01
5,Check exchange rate,9,1.05
5,Check exchange rate,10,0.91
5,Check exchange rate,11,1.02
5,Check exchange rate,12,0.86
5,Pays by card,13,
6,Check-in,1,
6,Check exchange rate,2,1.16
6,Check exchange rate,3,0.97
6,Check exchange rate,4,1.13
6,Check exchange rate,5,0.88
6,Check exchange rate,6,0.95
6,Check exchange rate,7,0.86
6,Check exchange rate,8,1.01
6,Check exchange rate,9,1.08
6,Check exchange rate,10,1.01
6,Check exchange rate,11,1.12
6,Check exchange rate,12,0.93
6,Pays cash,13,
7,Check-in,1,
7,Check exchange rate,2,1.02
7,Check exchange rate,3,1.01
7,Check exchange rate,4,0.98
7,Check exchange rate,5,1.07
7,Check exchange rate,6,1.1
7,Check exchange rate,7,0.92
7,Check exchange rate,8,0.87
7,Check exchange rate,9,0.82
7,Check exchange rate,10,1.05
7,Check exchange rate,11,0.89
7,Check exchange rate,12,0.78
7,Pays by card,13,
8,Check-in,1,
8,Check exchange rate,2,1.08
8,Check exchange rate,3,1.0
8,Check exchange rate,4,1.03
8,Check exchange rate,5,1.0
8,Check exchange rate,6,0.96
8,Check exchange rate,7,1.05
8,Check exchange rate,8,0.96
8,Check exchange rate,9,1.12
8,Check exchange rate,10,1.06
8,Check exchange rate,11,1.06
8,Check exchange rate,12,0.95
8,Pays by card,13,
9,Check-in,1,
9,Check exchange rate,2,0.98
9,Check exchange rate,3,1.05
9,Check exchange rate,4,0.91
9,Check exchange rate,5,1.0
9,Check exchange rate,6,1.0
9,Check exchange rate,7,1.11
9,Check exchange rate,8,1.05
9,Check exchange rate,9,1.0
9,Check exchange rate,10,1.08
9,Check exchange rate,11,1.14
9,Check exchange rate,12,1.06
9,Pays cash,13,
10,Check-in,1,
10,Check exchange rate,2,0.75
10,Check exchange rate,3,1.01
10,Check exchange rate,4,0.96
10,Check exchange rate,5,0.9
10,Check exchange rate,6,1.05
10,Check exchange rate,7,1.01
10,Check exchange rate,8,0.82
10,Check exchange rate,9,0.94
10,Check exchange rate,10,0.71
10,Check exchange rate,11,1.03
10,Check exchange rate,12,1.03
10,Pays cash,13,
11,Check-in,1,
11,Check exchange rate,2,0.92
11,Check exchange rate,3,1.15
11,Check exchange rate,4,1.12
11,Check exchange rate,5,0.98
11,Check exchange rate,6,1.15
11,Check exchange rate,7,1.01
11,Check exchange rate,8,0.97
11,Check exchange rate,9,0.94
11,Check exchange rate,10,0.97
11,Check exchange rate,11,0.96
11,Check exchange rate,12,1.02
11,Pays cash,13,
12,Check-in,1,
12,Check exchange rate,2,0.85
12,Check exchange rate,3,1.09
12,Check exchange rate,4,1.05
12,Check exchange rate,5,1.23
12,Check exchange rate,6,0.9
12,Check exchange rate,7,0.98
12,Check exchange rate,8,0.99
12,Check exchange rate,9,1.1
12,Check exchange rate,10,0.95
12,Check exchange rate,11,0.88
12,Check exchange rate,12,1.12
12,Pays by card,13,
13,Check-in,1,
13,Check exchange rate,2,0.97
13,Check exchange rate,3,0.94
13,Check exchange rate,4,0.74
13,Check exchange rate,5,0.95
13,Check exchange rate,6,1.04
13,Check exchange rate,7,0.85
13,Check exchange rate,8,1.02
13,Check exchange rate,9,1.0
13,Check exchange rate,10,1.06
13,Check exchange rate,11,1.01
13,Check exchange rate,12,0.9
13,Pays by card,13,
14,Check-in,1,
14,Check exchange rate,2,0.88
14,Check exchange rate,3,1.0
14,Check exchange rate,4,1.12
14,Check exchange rate,5,0.91
14,Check exchange rate,6,0.77
14,Check exchange rate,7,0.96
14,Check exchange rate,8,0.91
14,Check exchange rate,9,0.77
14,Check exchange rate,10,1.03
14,Check exchange rate,11,1.02
14,Check exchange rate,12,1.11
14,Pays cash,13,
15,Check-in,1,
15,Check exchange rate,2,0.89
15,Check exchange rate,3,1.07
15,Check exchange rate,4,0.95
15,Check exchange rate,5,1.22
15,Check exchange rate,6,0.94
