case_id,activity,event_order,exchange_rate
1,Check-in,1,
1,Check exchange rate,2,1.13
1,Check exchange rate,3,0.8
1,Check exchange rate,4,1.08
1,Check exchange rate,5,1.04
1,Check exchange rate,6,0.96
1,Check exchange rate,7,0.92
1,Check exchange rate,8,1.01
1,Check exchange rate,9,0.98
1,Check exchange rate,10,0.87
1,Check exchange rate,11,1.04
1,Check exchange rate,12,0.88
1,Pays by card,13,
2,Check-in,1,
2,Check exchange rate,2,1.14
2,Check exchange rate,3,1.08
2,Check exchange rate,4,1.09
2,Check exchange rate,5,1.01
2,Check exchange rate,6,0.98
2,Check exchange rate,7,1.0
2,Check exchange rate,8,1.07
2,Check exchange rate,9,0.79
2,Check exchange rate,10,1.04
2,Check exchange rate,11,1.08
2,Check exchange rate,12,1.08
2,Pays cash,13,
3,Check-in,1,
3,Check exchange rate,2,0.99
3,Check exchange rate,3,1.04
3,Check exchange rate,4,0.86
3,Check exchange rate,5,0.83
3,Check exchange rate,6,0.95
3,Check exchange rate,7,1.08
3,Check exchange rate,8,0.98
3,Check exchange rate,9,0.85
3,Check exchange rate,10,0.94
3,Check exchange rate,11,0.95
3,Check exchange rate,12,0.82
3,Pays by card,13,
4,Check-in,1,
4,Check exchange rate,2,0.98
4,Check exchange rate,3,1.09
4,Check exchange rate,4,0.92
4,Check exchange rate,5,0.88
4,Check exchange rate,6,0.97
4,Check exchange rate,7,1.07
4,Check exchange rate,8,0.98
4,Check exchange rate,9,1.05
4,Check exchange rate,10,0.93
4,Check exchange rate,11,1.03
4,Check exchange rate,12,1.05
4,Pays by card,13,
5,Check-in,1,
5,Check exchange rate,2,1.03
5,Check exchange rate,3,0.98
5,Check exchange rate,4,1.0
5,Check exchange rate,5,0.95
5,Check exchange rate,6,1.06
5,Check exchange rate,7,0.97
5,Check exchange rate,8,0.96
5,Check exchange rate,9,0.89
5,Check exchange rate,10,0.88
5,Check exchange rate,11,0.85
5,Check exchange rate,12,1.02
5,Pays by card,13,
6,Check-in,1,
6,Check exchange rate,2,1.06
6,Check exchange rate,3,1.06
6,Check exchange rate,4,1.12
6,Check exchange rate,5,1.03
6,Check exchange rate,6,0.98
6,Check exchange rate,7,1.07
6,Check exchange rate,8,0.94
6,Check exchange rate,9,0.9
6,Check exchange rate,10,0.91
6,Check exchange rate,11,0.89
6,Check exchange rate,12,1.02
6,Pays by card,13,
7,Check-in,1,
7,Check exchange rate,2,1.1
7,Check exchange rate,3,1.0
7,Check exchange rate,4,0.95
7,Check exchange rate,5,0.99
7,Check exchange rate,6,1.04
7,Check exchange rate,7,1.12
7,Check exchange rate,8,0.94
7,Check exchange rate,9,1.03
7,Check exchange rate,10,1.02
7,Check exchange rate,11,0.87
7,Check exchange rate,12,1.05
7,Pays cash,13,
8,Check-in,1,
8,Check exchange rate,2,0.95
8,Check exchange rate,3,0.99
8,Check exchange rate,4,1.13
8,Check exchange rate,5,0.87
8,Check exchange rate,6,1.04
8,Check exchange rate,7,1.13
8,Check exchange rate,8,0.81
8,Check exchange rate,9,0.96
8,Check exchange rate,10,0.89
8,Check exchange rate,11,1.07
8,Check exchange rate,12,1.03
8,Pays by card,13,
9,Check-in,1,
9,Check exchange rate,2,0.95
9,Check exchange rate,3,1.04
9,Check exchange rate,4,1.05
9,Check exchange rate,5,0.95
9,Check exchange rate,6,1.01
9,Check exchange rate,7,1.11
9,Check exchange rate,8,0.96
9,Check exchange rate,9,0.96
